umbral,precision,recall,accuracy,tp,fp,fn,tn
0.04122881591320038,0.6666666666666666,1.0,0.6666666666666666,232,116,0,0
0.05768292620778084,0.6685878962536023,1.0,0.6695402298850575,232,115,0,1
0.0741370365023613,0.6685878962536023,1.0,0.6695402298850575,232,115,0,1
0.09059114679694175,0.6705202312138728,1.0,0.6724137931034483,232,114,0,2
0.10704525709152221,0.6705202312138728,1.0,0.6724137931034483,232,114,0,2
0.12349936738610268,0.6705202312138728,1.0,0.6724137931034483,232,114,0,2
0.1399534776806831,0.672463768115942,1.0,0.6752873563218391,232,113,0,3
0.15640758797526358,0.6763848396501457,1.0,0.6810344827586207,232,111,0,5
0.17286169826984404,0.7009063444108762,1.0,0.7155172413793104,232,99,0,17
0.1893158085644245,0.7278481012658228,0.9913793103448276,0.7471264367816092,230,86,2,30
0.20576991885900497,0.7867132867132867,0.9698275862068966,0.8045977011494253,225,61,7,55
0.2222240291535854,0.8396946564885496,0.9482758620689655,0.8448275862068966,220,42,12,74
0.23867813944816588,0.9124423963133641,0.853448275862069,0.8477011494252874,198,19,34,97
0.25513224974274634,0.9277777777777778,0.7198275862068966,0.7758620689655172,167,13,65,103
0.2715863600373268,0.959349593495935,0.5086206896551724,0.6580459770114943,118,5,114,111
0.2880404703319073,0.9444444444444444,0.29310344827586204,0.5172413793103449,68,4,164,112
0.3044945806264877,0.972972972972973,0.15517241379310345,0.4339080459770115,36,1,196,115
0.32094869092106815,0.9230769230769231,0.05172413793103448,0.3649425287356322,12,1,220,115
0.33740280121564864,1.0,0.02586206896551724,0.3505747126436782,6,0,226,116
0.3538569115102291,1.0,0.008620689655172414,0.3390804597701149,2,0,230,116
0.37031102180480957,1.0,0.004310344827586207,0.33620689655172414,1,0,231,116
